,Job,Company,Location,Experience,Pay,Posted on
59,Regional Internal Auditor,"AA Exchange Company (Pvt) Ltd.,",Sialkot,1 Year,N/A,"Jul 24, 2025"
60,Unit Head Analytics & Digitalization (Finance Group),"The Bank of Punjab (BOP),",Lahore,10 Years,N/A,"Jul 23, 2025"
61,Customer Support Trainee Officer,"Bank Al Habib Limited,",", Pakistan",Fresh,N/A,"Jul 22, 2025"
62,Business Development Manager,"Ravi Group of Companies,",Lahore,3 Years,N/A,"Jul 21, 2025"
63,Head Digital Customer Care (Information Technology Group),"The Bank of Punjab (BOP),",Lahore,10 Years,N/A,"Jul 21, 2025"
64,Unit Head Corporate Affairs / Company Secretariat,"U Microfinance Bank,",Islamabad,7 Years,N/A,"Jul 20, 2025"
65,Officer Grade - IV Non - Graduate Program,"United Bank Limited (UBL),",", Pakistan",Fresh,N/A,"Jul 18, 2025"
66,Branch Manager,"LOLC Microfinance Bank,",Islamabad,4 Years,N/A,"Jul 18, 2025"
67,Relationship Manager - Liability,"U Microfinance Bank,",Kamalia,2 Years,N/A,"Jul 17, 2025"
68,Unit Head - Credit Portfolio Analytics (CAR/IFRS9),"Albaraka Bank Pakistan Ltd,",Karachi,16 Years,N/A,"Jul 17, 2025"
69,Software Engineer - .NET Technologies,"Taleem Finance Company Ltd.,",Lahore,1 Year,N/A,"Jul 17, 2025"
70,Business Development Officer,"U Microfinance Bank,",", Pakistan",Fresh,N/A,"Jul 16, 2025"
71,Relationship Officer Asset,"U Microfinance Bank,",", Pakistan",2 Years,N/A,"Jul 16, 2025"
72,Branch Manager,"U Microfinance Bank,",Jhelum,3 Years,N/A,"Jul 16, 2025"
73,Automotive Parts Executive,"Ravi Group of Companies,",Lahore,3 Years,35K - 40K,"Jul 16, 2025"
74,Special Assets Management Manager,"First Punjab Modaraba,",Lahore,3 Years,N/A,"Jul 16, 2025"
75,SME Credit Analyst,"Albaraka Bank Pakistan Ltd,",Karachi,2 Years,N/A,"Jul 15, 2025"
76,CCTV Supervisor,"AA Exchange Company (Pvt) Ltd.,",Islamabad,4 Years,40K - 50K,"Jul 15, 2025"
77,Business Development Banker,"Bank Al Habib Limited,",", Pakistan",1 Year,N/A,"Jul 14, 2025"
78,Assistant Manager - Human Resource,"AA Exchange Company (Pvt) Ltd.,",Islamabad,7 Years,N/A,"Jul 12, 2025"
79,Marketing Executive,"Azee Securities (Pvt) Ltd.,",Karachi,1 Year,50K - 100K,"Jul 12, 2025"
80,Recovery Officer,"Easypaisa Bank Limited,",Karachi,Fresh,35K - 40K,"Jul 11, 2025"
81,Regional Inspector,"AA Exchange Company (Pvt) Ltd.,",Lahore,Less than 1 Year,N/A,"Jul 11, 2025"
82,Senior Officer Compliance,"Al Meezan Investment Management Ltd,",Islamabad,2 Years,N/A,"Jul 10, 2025"
83,Branch Manager - Liability,"Easypaisa Bank Limited,",Karachi,5 Years,N/A,"Jul 10, 2025"
84,Director of Finance,"Nova Finance,",Islamabad,5 Years,N/A,"Jul 10, 2025"
85,Call-Center Officer,"Al Meezan Investment Management Ltd,",Karachi,1 Year,N/A,"Jul 10, 2025"
86,Branch Manager,"Faysal Bank Limited,",", Pakistan",5 Years,N/A,"Jul 09, 2025"
87,IT Support Engineer,"State Bank of Pakistan.,",Karachi,2 Years,N/A,"Jul 09, 2025"
88,Laravel / PHP / Backend Developer,"Kwiik Pay,",", Pakistan",5 Years,400K - 500K,"Jul 07, 2025"
89,Customer Service Officer,"U Microfinance Bank,",", Pakistan",1 Year,N/A,"Jul 07, 2025"
90,Customer Service Officer,"U Microfinance Bank,",", Pakistan",2 Years,N/A,"Jul 07, 2025"
91,Assistant Manager – Home Remittance,"Albaraka Bank Pakistan Ltd,",Karachi,2 Years,N/A,"Jul 04, 2025"
92,Manager – Business Risk Review  (Internal Audit Function),"Albaraka Bank Pakistan Ltd,",Karachi,6 Years,N/A,"Jun 30, 2025"
93,Portfolio Manager Cards - Digital Banking Group,"Albaraka Bank Pakistan Ltd,",Karachi,4 Years,N/A,"Jun 26, 2025"
94,Relationship Officer Asset Sales,"Mobilink Bank,",", Pakistan",N/A,N/A,"Apr 18, 2025"
95,Branch Manager,"Mobilink Bank,",", Pakistan",N/A,N/A,"Apr 08, 2025"
96,Relationship Officer Deposit Banking,"Mobilink Bank,",Lahore,N/A,N/A,"Feb 28, 2025"
97,Relationship Officer Deposit Banking,"Mobilink Bank,",Lahore,N/A,N/A,"Feb 03, 2025"
98,Relationship Manager SME,"Mobilink Bank,",Karachi,N/A,N/A,"Jan 24, 2025"
